Set,Name,Theme,Year,Parts,Cost
10311-1,Orchid,Icons,2022,608,49.99
,,,,,Avg: $57.46
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10291-1,Queer Eye: The Fab 5 Loft,Icons,2021,974,59.99
,,,,,List: $99.99
,,,,,Avg: $114.34
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10283-1,NASA Space Shuttle Discovery,Icons,2021,2355,199.99
,,,,,Avg: $225.46
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10304-1,Chevrolet Camaro Z/28 1969,Icons,2022,1456,169.99
,,,,,Avg: $190.84
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10307-1,Eiffel Tower,Icons,2022,10001,629.99
,,,,,Avg: $701.60
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10303-1,Loop Coaster,Icons,2022,3756,399.99
,,,,,Avg: $443.47
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10299-1,Real Madrid – Santiago Bernabéu Stadium,Icons,2022,5876,399.99
,,,,,Avg: $441.17
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10298-1,Vespa 125,Icons,2022,1107,99.99
,,,,,Avg: $106.74
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10273-1,Haunted House,Icons,2020,3232,299.99
,,,,,Avg: $317.08
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10292-1,Friends - The Apartments,Icons,2021,2048,179.99
,,,,,Avg: $188.81
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
76989-1,Horizon Forbidden West: Tallneck,Icons,2022,1222,89.99
,,,,,Avg: $93.30
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10295-1,Porsche 911 Turbo & 911 Targa,Icons,2021,1458,169.99
,,,,,Avg: $172.36
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
10274-1,ECTO-1,Icons,2020,2352,239.99
,,,,,Avg: $227.75
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31120-1,Medieval Castle,Creator 31,2021,1426,99.99
,,,,,Avg: $131.70
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31108-1,Caravan Family Holiday,Creator 31,2020,766,69.99
,,,,,Avg: $82.24
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31113-1,Race Car Transporter,Creator 31,2021,328,19.99
,,,,,Avg: $23.45
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31128-1,Dolphin and Turtle,Creator 31,2022,137,9.99
,,,,,Avg: $11.10
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31126-1,Supersonic-jet,Creator 31,2022,215,19.99
,,,,,Avg: $22.02
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31124-1,Super Robot,Creator 31,2022,159,9.99
,,,,,Avg: $10.96
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31088-1,Deep Sea Creatures,Creator 31,2019,230,14.99
,,,,,Avg: $16.03
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31058-1,Mighty Dinosaurs,Creator 31,2017,174,14.99
,,,,,Avg: $15.92
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31100-1,Sports Car,Creator 31,2020,134,9.99
,,,,,Avg: $10.42
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31111-1,Cyber Drone,Creator 31,2021,113,9.99
,,,,,Avg: $10.41
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
31129-1,Majestic Tiger,Creator 31,2022,755,49.99
,,,,,Avg: $51.47
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
