REALINC,WRKSTAT,WRKSLF,WRKGOVT,OCC10,PRESTG10,PRESTG105PLUS,MARITAL,PAWRKSLF,SIBS,CHILDS,AGE,EDUC,MAEDUC,DEGREE,MADEG,SEX,RACE,RES16,REG16,MOBILE16,FAMILY16,MAWRKGRW,INCOM16,BORN,PARBORN,GRANBORN,HOMPOP,BABIES,PRETEEN,TEENS,ADULTS,EARNRS,REGION,SRCBELT,SIZE,PARTYID,PRES16,POLVIEWS,NATROAD,CAPPUN,COURTS,RELIG,FUND,ATTEND,RELITEN,POSTLIFE,PRAY,RELIG16,FUND16,BIBLE,HAPPY,WEEKSWRK,CLASS,PHONE,TVHOURS,GOD,REBORN,SAVESOUL,RELPERSN,SPRTPRSN
68220,1,2,2,4810,47,61,4,2,1,1,41,13,12,1,1,2,1,4,2,3,1,1,3,1,0,4,3,0,1,0,1,1,2,3,3,1,0,2,2,1,2,4,3,0,4,1,6,2,2,3,2,52,2,3,1,4,2,2,4,3
144502.71714,1,2,1,10,72,90,1,2,6,0,50,20,19,4,4,1,1,6,5,3,1,2,4,1,0,0,2,0,0,0,1,2,2,3,3,0,0,1,1,2,1,2,2,4,1,1,1,2,2,3,1,52,3,3,1,6,1,2,3,1
25582.5,5,2,1,2310,61,85,1,1,1,1,66,20,12,4,1,2,1,5,2,3,1,1,2,1,2,4,3,0,0,0,1,1,2,3,28,2,0,4,1,1,2,2,2,7,1,1,2,2,2,2,2,0,3,3,2,6,2,1,1,1
13501.875,5,2,2,5860,32,26,5,1,1,0,89,12,10,1,0,2,1,1,2,2,1,2,3,1,0,0,1,0,0,0,1,0,2,3,28,6,0,6,2,1,2,1,3,6,3,0,1,1,3,2,1,0,2,3,1,4,2,2,1,2
18476.25,1,2,2,4010,38,29,1,2,5,1,34,9,3,1,0,1,1,4,0,3,1,2,1,2,8,0,4,0,0,0,1,1,2,4,12,0,0,4,2,1,2,4,3,0,4,2,5,2,2,2,1,52,2,3,2,3,2,2,3,2
25582.5,5,2,2,7720,27,12,1,2,7,1,64,12,4,1,0,1,1,6,2,1,1,1,2,1,6,4,2,0,0,0,1,0,2,4,12,4,0,4,2,2,3,2,2,3,1,1,1,2,2,1,2,0,3,3,3,6,2,2,1,1
68220,1,2,1,1460,70,94,5,2,2,0,39,18,13,3,1,1,1,5,2,2,1,1,3,1,8,4,1,0,0,0,1,1,2,3,11,6,0,6,1,1,3,1,2,5,1,1,3,1,2,2,2,52,3,3,1,6,1,1,4,2
46901.25,1,2,1,740,33,28,1,2,3,1,49,18,14,3,2,2,1,6,2,2,1,1,3,1,0,0,4,0,0,1,1,4,2,3,11,5,0,6,1,1,2,2,2,2,3,1,2,2,2,2,1,52,2,3,2.898961068615139,6,2,2,2,2
68220,1,2,2,120,53,65,3,2,1,1,53,16,12,3,1,2,1,5,2,2,1,2,1,1,0,2,1,0,0,0,1,1,2,3,11,1,0,4,2,1,2,3,3,2,2,2,6,3,3,2,2,52,4,3,1,3,2,2,4,4
18476.25,5,2,1,5550,45,51,5,2,3,0,58,16,13,3,1,1,1,6,2,2,1,1,3,1,0,0,1,0,0,0,1,0,2,3,11,0,0,4,2,1,3,2,2,4,2,1,3,2,2,2,3,0,3,3,2.898961068615139,5,2,2,2,2
